DESCRIPTION,LOCATION,PRICE
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N8,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
4 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N7,000,000 per year"
4 Bedroom Duplex,"Budland Close At Ojodu Grammar School, Ojodu, Ikeja","N3,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,500,000 per year"
5 Bedroom Duplex,"Ikate, Ikate Elegushi, Lekki","N12,000,000 per year"
2 Bedroom Flat & Apartment,"Maryland Estate, Maryland, Ikeja","N2,500,000 per year"
4 Bedroom Duplex,"Ikate, Ikate Elegushi, Lekki","N7,500,000 per year"
5 Bedroom Townhouse,"Osborne Phase 2, Ikoyi","N15,000,000 per year"
5 Bedroom Duplex,"Magodo G.R.A, Magodo Shangisha, Ketu","N7,000,000 per year"
3 Bedroom Flat & Apartment,"Osbourne Phase One, Ikoyi","N8,000,000 per year"
5 Bedroom Duplex,"Adeniyi Jones, Ikeja , Ikeja","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Expressway, Lekki","N4,500,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N2,400,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Expressway, Lekki","N5,000,000 per year"
5 Bedroom Terrace,"Oniru, Victoria Island","N20,000,000 per year"
3 Bedroom Terrace,"Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N9,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N22,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
3 Bedroom Townhouse,"Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N20,000,000 per year"
2 Bedroom Flat & Apartment,Victoria Island,"N6,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N5,000,000 per year"
